phase,flt,mag,magerr
155.0229119998403,c,16.193,0.014
155.03252399992198,c,16.191,0.015
171.68375100009143,c,16.342,0.018
171.68925700010732,c,16.25,0.016
171.71979299979284,c,16.235,0.015
171.72294399980456,c,16.268,0.017
172.8815290001221,c,16.281,0.016
172.91614799993113,c,16.255,0.016
172.919311999809,c,16.243,0.016
172.9292560000904,c,16.28,0.015
175.66238499991596,c,16.313,0.015
175.6665240000002,c,16.324,0.016
175.6918159998022,c,16.32,0.014
175.69731400022283,c,16.32,0.017
176.88361199991778,c,16.41,0.017
176.88679300015792,c,16.347,0.016
176.89267699979246,c,16.376,0.016
176.9028090001084,c,16.344,0.018
179.63047299999744,c,16.374,0.017
179.6638230001554,c,16.429,0.017
179.66697899997234,c,16.407,0.016
179.67238399991766,c,16.413,0.016
180.9259950001724,c,16.408,0.017
180.92960799997672,c,16.453,0.017
180.9359340001829,c,16.448,0.019
180.96051899995655,c,16.494,0.02
197.34255200019106,c,16.554,0.022
197.34527100017294,c,16.589,0.021
197.35115299979225,c,16.558,0.019
197.36108499998227,c,16.567,0.019
198.84196799993515,c,16.632,0.02
198.85314199980348,c,16.629,0.019
198.85777600016445,c,16.608,0.02
198.86897900002077,c,16.607,0.02
201.33219600003213,c,16.625,0.021
201.33535599987954,c,16.675,0.025
201.34259000001475,c,16.597,0.026
201.3526130001992,c,16.668,0.026
202.87832800019532,c,16.752,0.022
202.90486000012606,c,16.7,0.021
202.91840599989519,c,16.717,0.022
205.3154079997912,c,16.787,0.044
205.31946100015193,c,16.873,0.033
205.3262869999744,c,16.786,0.039
206.80162499984726,c,16.865,0.023
206.8043999997899,c,16.9,0.023
206.81422200007364,c,16.901,0.021
206.82451700000092,c,16.8,0.022
227.56532699987292,c,16.989,0.025
227.56893000006676,c,17.031,0.028
227.57403999986127,c,17.037,0.029
227.58604300022125,c,16.977,0.139
228.7701150001958,c,17.016,0.026
228.77418999979272,c,16.991,0.029
228.7874549999833,c,17.047,0.029
228.7947240001522,c,17.058,0.028
231.53763499995694,c,17.112,0.039
231.54079499980435,c,17.108,0.038
231.54620200023055,c,17.072,0.037
231.56110400008038,c,17.016,0.027
264.306228000205,c,17.009,0.062
25.658480000216514,o,14.786,0.007
25.665682999882847,o,14.775,0.007
25.682601999957114,o,14.796,0.012
37.655348000116646,o,14.867,0.007
37.67388699995354,o,14.861,0.008
37.685403999872506,o,14.882,0.015
45.083906000014395,o,14.578,0.009
45.09586799982935,o,14.517,0.009
45.10648000007495,o,14.563,0.008
45.110140999779105,o,14.538,0.008
47.09236200014129,o,14.489,0.009
47.09650699980557,o,14.52,0.009
47.10343400016427,o,14.494,0.008
47.11594700021669,o,14.496,0.019
54.0836249999702,o,14.482,0.005
54.08676300011575,o,14.464,0.006
54.09661799995229,o,14.463,0.005
54.10226400010288,o,14.454,0.005
55.08780700014904,o,14.434,0.006
55.09251500014216,o,14.483,0.006
55.100391999818385,o,14.475,0.006
55.10177299985662,o,14.464,0.006
55.110549999866635,o,14.455,0.006
55.11193000013009,o,14.427,0.006
55.118321999907494,o,14.481,0.009
55.119704000186175,o,14.467,0.011
67.09086100012064,o,14.63,0.006
67.1127840001136,o,14.646,0.008
67.11597499996424,o,14.631,0.01
67.12029400002211,o,14.64,0.011
69.61530200019479,o,14.702,0.006
69.62550299987197,o,14.684,0.007
69.64031600020826,o,14.707,0.006
69.64521200023592,o,14.698,0.007
71.08649000013247,o,14.703,0.006
71.10660299984738,o,14.714,0.006
71.11078200023621,o,14.711,0.007
71.12022199993953,o,14.734,0.009
73.06271099997684,o,14.678,0.007
73.06587600009516,o,14.7,0.007
73.07221900019795,o,14.666,0.006
73.08540799980983,o,14.688,0.006
73.59236899996176,o,14.685,0.008
73.59556100005284,o,14.675,0.007
73.60051500005648,o,14.689,0.01
73.60729799978435,o,14.678,0.008
75.0324519998394,o,14.748,0.01
75.03869900014251,o,14.764,0.009
75.04235500004143,o,14.749,0.009
75.05285499989986,o,14.75,0.009
76.48881400004029,o,14.671,0.053
76.492025999818,o,14.759,0.015
76.49792600004002,o,14.803,0.013
76.51645800005645,o,14.762,0.009
77.50877999980003,o,14.747,0.013
77.51152000017464,o,14.797,0.012
77.52599200000986,o,14.781,0.012
77.53186800004914,o,14.804,0.011
81.60768700018525,o,14.961,0.007
81.61056300019845,o,14.955,0.007
81.61606599995866,o,14.972,0.007
81.63286199979484,o,14.957,0.008
83.81463599996641,o,14.945,0.007
83.81968400022015,o,14.952,0.007
83.8234480000101,o,14.933,0.007
83.8345969999209,o,14.943,0.007
87.06938599981368,o,15.028,0.008
87.07257700012997,o,15.028,0.008
87.07713099988177,o,15.055,0.008
87.09064600011334,o,15.036,0.008
87.88219100004062,o,15.036,0.007
87.8858880000189,o,15.04,0.007
87.89265300007537,o,15.021,0.007
95.10282499995083,o,15.24,0.009
95.10745099978521,o,15.229,0.009
95.11502799997106,o,15.234,0.01
95.12283199978992,o,15.237,0.01
99.75967299984768,o,15.149,0.012
99.7624019999057,o,15.161,0.012
99.77838400006294,o,15.151,0.01
99.78392399987206,o,15.167,0.009
101.02573700016364,o,15.2,0.009
101.02756100008264,o,15.183,0.009
101.0303150000982,o,15.168,0.009
101.04791500000283,o,15.098,0.008
101.50567500013858,o,15.189,0.009
101.50936699984595,o,15.175,0.009
101.51582700014114,o,15.193,0.009
101.52562100021169,o,15.174,0.009
101.78282199986279,o,15.201,0.014
101.78554000006989,o,15.192,0.011
101.81351999985054,o,15.239,0.027
101.81770099978894,o,15.159,0.016
102.6790260002017,o,15.171,0.014
102.68218200001866,o,15.177,0.014
102.68826799979433,o,15.188,0.013
102.70825099991634,o,15.133,0.023
103.00755900004879,o,15.275,0.049
103.03082100022584,o,15.283,0.044
103.03264100011438,o,15.283,0.042
103.03985700011253,o,15.309,0.061
103.71530500007793,o,15.227,0.043
109.06147899990901,o,15.273,0.009
109.06672400003299,o,15.27,0.01
109.10206599999219,o,15.289,0.01
109.12649799976498,o,15.292,0.009
110.9746889998205,o,15.326,0.01
110.98106600018218,o,15.351,0.011
110.98668800015002,o,15.337,0.011
110.99172100005671,o,15.35,0.01
113.04237799998373,o,15.366,0.011
113.04775999998674,o,15.371,0.01
113.08305200003088,o,15.368,0.009
113.08630400011316,o,15.381,0.009
113.54821299994364,o,15.383,0.009
113.55137000000104,o,15.37,0.009
113.58432500017807,o,15.364,0.009
113.58978800009936,o,15.397,0.011
115.01143199997023,o,15.483,0.012
115.01325199985877,o,15.479,0.012
115.01878299983218,o,15.506,0.012
115.05447700014338,o,15.478,0.011
118.99472300009802,o,15.593,0.011
118.99887700006366,o,15.595,0.011
119.0016140001826,o,15.599,0.012
119.02358700009063,o,15.601,0.011
123.03289999999106,o,15.561,0.011
123.03703599981964,o,15.574,0.011
123.06438300013542,o,15.557,0.012
123.09274799982086,o,15.538,0.012
125.48094099992886,o,15.575,0.01
125.48278099996969,o,15.602,0.01
125.48593499977142,o,15.611,0.01
125.5041060000658,o,15.608,0.011
126.95827599987388,o,15.65,0.011
126.96009900001809,o,15.68,0.011
126.98323199991137,o,15.639,0.013
126.98733199993148,o,15.651,0.012
129.44614099990577,o,15.727,0.012
129.4516429998912,o,15.716,0.013
129.4557119999081,o,15.722,0.013
129.46114700008184,o,15.698,0.013
129.62406199984252,o,15.793,0.021
130.89043200016022,o,15.821,0.02
130.89362399978563,o,15.767,0.02
130.91675100009888,o,15.834,0.021
130.92085799993947,o,15.594,0.107
131.51020199991763,o,15.769,0.019
131.5158999999985,o,15.809,0.021
131.5496760001406,o,15.772,0.019
131.55270599992946,o,15.789,0.021
137.067524000071,o,15.753,0.016
137.07096699997783,o,15.75,0.016
137.0764219998382,o,15.766,0.015
137.0872920001857,o,15.722,0.014
137.4984229998663,o,15.734,0.015
137.5038970001042,o,15.755,0.017
137.50705000013113,o,15.742,0.018
137.517477999907,o,15.801,0.017
138.9782150001265,o,15.788,0.012
138.98101500002667,o,15.776,0.013
138.98643600009382,o,15.79,0.012
139.0217180000618,o,15.8,0.013
139.73433900019154,o,15.551,0.178
139.76995400013402,o,15.865,0.14
139.77311300020665,o,15.836,0.116
139.77852400019765,o,15.527,0.151
140.96968400012702,o,15.832,0.013
140.97286600014195,o,15.84,0.013
140.97828900022432,o,15.834,0.014
140.98855799995363,o,15.808,0.011
143.65775199979544,o,15.873,0.013
