jd G eG binepoch_G R eR binepoch_R c ec binepoch_c g eg binepoch_g i ei binepoch_i o eo binepoch_o r er binepoch_r
65.93925925018266 nan nan 0 nan nan 0 nan nan 0 15.319755778723403 0.022871019318699837 1 nan nan 0 nan nan 0 14.73270320892334 0.025814196094870567 1
65.93925925018266 nan nan 0 nan nan 0 nan nan 0 15.319755554199219 0.022871019318699837 1 nan nan 0 nan nan 0 14.732700752056289 0.025814000517129898 1
67.03600955714604 nan nan 0 nan nan 0 nan nan 0 15.303500448068204 0.03501699864864348 1 nan nan 0 14.63 0.006 1 nan nan 0
67.03600955714604 nan nan 0 nan nan 0 nan nan 0 15.303475379943848 0.035017192363739014 1 nan nan 0 14.646 0.008 1 nan nan 0
67.03600955714604 nan nan 0 nan nan 0 nan nan 0 15.303475441199497 0.03501719236373901 1 nan nan 0 14.631 0.01 1 nan nan 0
67.03600955714604 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.64 0.011 1 nan nan 0
67.77608999982476 nan nan 0 nan nan 0 nan nan 0 15.289881486716746 0.041 1 nan nan 0 nan nan 0 nan nan 0
69.10370100010186 nan nan 0 nan nan 0 15.091 0.007 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
69.10370100010186 nan nan 0 nan nan 0 15.087 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
69.10370100010186 nan nan 0 nan nan 0 15.089 0.01 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
69.75583525720451 nan nan 0 nan nan 0 nan nan 0 15.314892104920366 0.02705592289566993 1 nan nan 0 14.702 0.006 1 nan nan 0
69.75583525720451 nan nan 0 nan nan 0 nan nan 0 15.314891815185547 0.027055922895669934 1 nan nan 0 14.684 0.007 1 nan nan 0
69.75583525720451 nan nan 0 nan nan 0 nan nan 0 15.314900398495785 0.027055999264121052 1 nan nan 0 14.707 0.006 1 nan nan 0
69.75583525720451 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.698 0.007 1 nan nan 0
71.03167406260036 nan nan 0 nan nan 0 nan nan 0 15.267133297160518 0.02718928456306457 1 nan nan 0 14.703 0.006 1 nan nan 0
71.03167406260036 nan nan 0 nan nan 0 nan nan 0 15.267132759094238 0.027189284563064575 1 nan nan 0 14.714 0.006 1 nan nan 0
71.03167406260036 nan nan 0 nan nan 0 nan nan 0 15.267100430636065 0.02718899957835674 1 nan nan 0 14.711 0.007 1 nan nan 0
71.03167406260036 nan nan 0 nan nan 0 nan nan 0 15.250588601824179 0.03 1 nan nan 0 14.734 0.009 1 nan nan 0
71.95887729991227 nan nan 0 nan nan 0 nan nan 0 15.303903920326226 0.033384956419467926 1 nan nan 0 nan nan 0 nan nan 0
71.95887729991227 nan nan 0 nan nan 0 nan nan 0 15.30389976702371 0.0333850011229515 1 nan nan 0 nan nan 0 nan nan 0
71.95887729991227 nan nan 0 nan nan 0 nan nan 0 15.303903579711914 0.033384956419467926 1 nan nan 0 nan nan 0 nan nan 0
72.99889348750003 nan nan 0 nan nan 0 nan nan 0 15.297715099999408 0.04 1 nan nan 0 14.678 0.007 1 14.796900340452765 0.027014832943677902 1
72.99889348750003 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.7 0.007 1 14.796899795532227 0.027014832943677902 1
72.99889348750003 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.666 0.006 1 14.796900340452765 0.027015000581741333 1
72.99889348750003 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.688 0.006 1 nan nan 0
73.64077059999109 nan nan 0 nan nan 0 nan nan 0 15.232181942584143 0.07 1 nan nan 0 14.685 0.008 1 nan nan 0
73.64077059999109 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.675 0.007 1 nan nan 0
73.64077059999109 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.689 0.01 1 nan nan 0
73.64077059999109 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.678 0.008 1 nan nan 0
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.748 0.01 1 14.854422569274902 0.024588432163000107 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.764 0.009 1 14.854399668313517 0.024588000029325482 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.749 0.009 1 14.854422908000323 0.024588432163000107 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.75 0.009 1 14.869796752929688 0.02414832077920437 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.86979972957649 0.024148000404238697 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.86979675077543 0.024148320779204365 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.880449341014014 0.02930496074259281 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.880449295043945 0.02930496074259281 1
74.96906036926576 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.880399838177206 0.02930499985814094 1
76.73330535553396 nan nan 0 nan nan 0 nan nan 0 15.207571946372411 0.067 1 nan nan 0 14.671 0.053 1 14.909000541693475 0.025077000260353085 1
76.73330535553396 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.759 0.015 1 14.908978453709985 0.025076640769839283 1
76.73330535553396 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.803 0.013 1 14.927916655283143 0.04091860353946685 1
76.73330535553396 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.762 0.009 1 14.927900600823769 0.040918998420238495 1
77.51954000000842 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.747 0.013 1 nan nan 0
77.51954000000842 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.797 0.012 1 nan nan 0
77.51954000000842 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.781 0.012 1 nan nan 0
77.51954000000842 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.804 0.011 1 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.48970062578733 0.046188000589609146 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.489687445046323 0.04618763178586959 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.523100078201143 0.023238999769091603 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.523116153036248 0.02323850803077221 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.488400629257299 0.04371900111436844 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.48840177404473 0.04371867701411247 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.531299874720228 0.038731999695301056 1 nan nan 0 nan nan 0 nan nan 0
80.94063947501127 nan nan 0 nan nan 0 nan nan 0 15.531331434684857 0.03873179480433465 1 nan nan 0 nan nan 0 nan nan 0
81.6167945000343 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.961 0.007 1 nan nan 0
81.6167945000343 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.955 0.007 1 nan nan 0
81.6167945000343 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.972 0.007 1 nan nan 0
81.6167945000343 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.957 0.008 1 nan nan 0
83.90496559996002 nan nan 0 nan nan 0 nan nan 0 15.470500181588202 0.028994999825954434 1 nan nan 0 14.945 0.007 1 15.11693672940644 0.030518094077706334 1
83.90496559996002 nan nan 0 nan nan 0 nan nan 0 15.470519212296628 0.028994662687182426 1 nan nan 0 14.952 0.007 1 15.116900953999282 0.03051799908280372 1
83.90496559996002 nan nan 0 nan nan 0 nan nan 0 15.467476400473473 0.033165909349918365 1 nan nan 0 14.933 0.007 1 15.069891958312857 0.02739574387669563 1
83.90496559996002 nan nan 0 nan nan 0 nan nan 0 15.467500206973675 0.03316599875688552 1 nan nan 0 14.943 0.007 1 15.069899666600127 0.027396000921726227 1
85.06118279993534 nan nan 0 nan nan 0 15.314 0.008 1 15.46358464249356 0.04 1 nan nan 0 nan nan 0 nan nan 0
85.06118279993534 nan nan 0 nan nan 0 15.314 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
85.06118279993534 nan nan 0 nan nan 0 15.292 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
85.06118279993534 nan nan 0 nan nan 0 15.3 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
85.5546225999482 nan nan 0 nan nan 0 15.323 0.008 1 15.572856334086518 0.051 1 nan nan 0 nan nan 0 nan nan 0
85.5546225999482 nan nan 0 nan nan 0 15.31 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
85.5546225999482 nan nan 0 nan nan 0 15.33 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
85.5546225999482 nan nan 0 nan nan 0 15.297 0.008 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
87.04037358332425 nan nan 0 nan nan 0 nan nan 0 15.549599709403847 0.0298909991979599 1 nan nan 0 15.028 0.008 1 nan nan 0
87.04037358332425 nan nan 0 nan nan 0 nan nan 0 15.41332169725622 0.114 1 nan nan 0 15.028 0.008 1 nan nan 0
87.04037358332425 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.055 0.008 1 nan nan 0
87.04037358332425 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.036 0.008 1 nan nan 0
87.90069300006144 nan nan 0 nan nan 0 nan nan 0 15.573688689885348 0.064 1 nan nan 0 15.036 0.007 1 nan nan 0
87.90069300006144 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.04 0.007 1 nan nan 0
87.90069300006144 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.021 0.007 1 nan nan 0
89.06294600002002 nan nan 0 nan nan 0 15.439 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
89.06294600002002 nan nan 0 nan nan 0 15.435 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
89.06294600002002 nan nan 0 nan nan 0 15.43 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
89.06294600002002 nan nan 0 nan nan 0 15.405 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
90.90644206649934 nan nan 0 nan nan 0 nan nan 0 15.619099933168567 0.03474000096321106 1 nan nan 0 nan nan 0 nan nan 0
90.90644206649934 nan nan 0 nan nan 0 nan nan 0 15.619090378092384 0.034739699214696884 1 nan nan 0 nan nan 0 nan nan 0
90.90644206649934 nan nan 0 nan nan 0 nan nan 0 15.527720383626432 0.042 1 nan nan 0 nan nan 0 nan nan 0
91.89907220005989 nan nan 0 nan nan 0 15.48 0.01 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
91.89907220005989 nan nan 0 nan nan 0 15.471 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
91.89907220005989 nan nan 0 nan nan 0 15.488 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
91.89907220005989 nan nan 0 nan nan 0 15.486 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
91.89907220005989 nan nan 0 nan nan 0 15.512 0.014 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
92.98097340008243 nan nan 0 nan nan 0 15.563 0.009 1 15.771949434992186 0.054 1 nan nan 0 nan nan 0 nan nan 0
92.98097340008243 nan nan 0 nan nan 0 15.531 0.009 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
92.98097340008243 nan nan 0 nan nan 0 15.509 0.01 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
92.98097340008243 nan nan 0 nan nan 0 15.533 0.01 1 nan nan 0 nan nan 0 nan nan 0 nan nan 0
93.86567319991688 nan nan 0 nan nan 0 nan nan 0 15.79504892485005 0.056 1 nan nan 0 nan nan 0 nan nan 0
93.86567319991688 nan nan 0 nan nan 0 nan nan 0 15.704087782910102 0.03371696919202804 1 nan nan 0 nan nan 0 nan nan 0
93.86567319991688 nan nan 0 nan nan 0 nan nan 0 15.704099652091978 0.033716998994350426 1 nan nan 0 nan nan 0 nan nan 0
94.99191241251538 nan nan 0 nan nan 0 nan nan 0 15.651345167211247 0.046 1 14.945974500345459 0.027820359915494915 1 15.24 0.009 1 nan nan 0
94.99191241251538 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.946000132532571 0.027820000424981114 1 15.229 0.009 1 nan nan 0
94.99191241251538 nan nan 0 nan nan 0 nan nan 0 nan nan 0 14.942998407478335 0.034729532897472375 1 15.234 0.01 1 nan nan 0
94.99191241251538 nan nan 0 nan nan 0 nan nan 0 nan nan 0 nan nan 0 15.237 0.01 1 nan nan 0
95.9178435427935 nan nan 0 nan nan 0 nan nan 0 15.630806443657029 0.045 1 nan nan 0 nan nan 0 15.300800331912201 0.04435700178146363 1
95.9178435427935 nan nan 0 nan nan 0 nan nan 0 15.651211869682136 0.04091645032167435 1 nan nan 0 nan nan 0 15.300793204780256 0.044357247650623315 1
