phase,L,eL
54.09231750003528,3.7876342083771744e+42,3.7956665086141115e+41
54.09231750003528,3.791124355428941e+42,3.7967092878051e+41
54.09231750003528,3.822680756207439e+42,3.8283121762078116e+41
55.105374125007074,3.8937496975531023e+42,3.902007033108119e+41
55.105374125007074,3.72192853767532e+42,3.729821498249209e+41
55.105374125007074,3.749454003644264e+42,3.7574053364881924e+41
55.105374125007074,3.787634208377175e+42,3.795666508614112e+41
55.105374125007074,3.819161558017077e+42,3.8272607171754545e+41
55.105374125007074,3.918934729291085e+42,3.927245473841075e+41
55.105374125007074,3.728790901940359e+42,3.746559337216465e+41
55.105374125007074,3.777183033778696e+42,3.8040390667474045e+41
57.95359025998041,3.353837428622464e+42,3.4683311912702957e+41
57.95359025998041,3.3538375903903566e+42,3.468331358560643e+41
57.95359025998041,3.428482060238938e+42,3.596411288352615e+41
57.95359025998041,3.4285405166740124e+42,3.596471016195218e+41
57.95359025998041,3.428540538102582e+42,3.596471038673362e+41
58.94022647512611,3.493793849786462e+42,3.752789114672739e+41
58.94022647512611,3.5494580969196054e+42,3.828356230870774e+41
58.94022647512611,3.549366297341193e+42,3.8282571105462295e+41
60.952120000030845,3.801366567378157e+42,4.138729361050462e+41
60.952120000030845,3.8387605543552926e+42,4.02829914873888e+41
60.952120000030845,3.838840967939488e+42,4.0283788955251644e+41
61.54203000012785,2.948164822972135e+42,3.1893431585841556e+41
63.947755528547404,3.634245195273704e+42,4.012201208028845e+41
63.947755528547404,3.4525878694460697e+42,3.615152025429835e+41
63.947755528547404,3.4525457745355574e+42,3.6151081245048875e+41
63.947755528547404,3.324480685937359e+42,3.454752731402709e+41
65.93925925018266,3.244384962020171e+42,3.355839958545563e+41
65.93925925018266,3.2444505118663996e+42,3.355907844107129e+41
65.93925925018266,3.2444546187210544e+42,3.355911211426184e+41
67.03600955714604,3.1962554108319155e+42,3.274571427540873e+41
67.03600955714604,3.1728986079764586e+42,3.2583076270274108e+41
67.03600955714604,3.194819968854546e+42,3.288884530774961e+41
67.03600955714604,3.169048599910544e+42,3.1915807549365335e+41
67.77608999982476,3.2344574864676303e+42,3.540595703925209e+41
69.10370100010186,3.070928114806778e+42,3.0797888404464233e+41
69.10370100010186,3.082262698339113e+42,3.093873496114708e+41
69.10370100010186,3.076590186805806e+42,3.094679597500446e+41
69.75583525720451,3.076977106087621e+42,3.1261511586787234e+41
69.75583525720451,3.1019954975460014e+42,3.1545887460585293e+41
69.75583525720451,3.070088889841667e+42,3.1191530847959833e+41
69.75583525720451,3.0042003992336934e+42,3.0128685915550223e+41
71.03167406260036,3.146668822373259e+42,3.1973599984774044e+41
71.03167406260036,3.131597701850334e+42,3.1820460901469154e+41
71.03167406260036,3.1357422728452564e+42,3.1893204984376107e+41
71.03167406260036,3.1299397200183917e+42,3.199353485678033e+41
71.95887729991227,3.192952617098909e+42,3.396332469340406e+41
71.95887729991227,3.192964831229237e+42,3.3963459898261383e+41
71.95887729991227,3.19295361878378e+42,3.3963335348290804e+41
72.99889348750003,3.1405317205147445e+42,3.2513050878512907e+41
72.99889348750003,3.074505428789559e+42,3.1265079267509606e+41
72.99889348750003,3.122199461731885e+42,3.1719737292815483e+41
72.99889348750003,3.0319979232793364e+42,3.038427772704523e+41
73.64077059999109,3.225691828855137e+42,3.503086670296977e+41
73.64077059999109,3.0685195847090927e+42,3.0773733608782218e+41
73.64077059999109,3.029206635624074e+42,3.047017445508904e+41
73.64077059999109,3.0600526546481796e+42,3.0715797878075104e+41
74.96906036926576,2.936995152265953e+42,2.988346808168334e+41
74.96906036926576,2.9158716411914047e+42,2.9639709739303982e+41
74.96906036926576,2.9356633493815814e+42,2.9840903960886637e+41
74.96906036926576,2.913371841524005e+42,2.9601898597450918e+41
74.96906036926576,2.939763738654413e+42,3.0391721110105844e+41
74.96906036926576,2.9397718041341476e+42,3.0391830438397697e+41
74.96906036926576,2.9110695671500484e+42,3.054937286362198e+41
74.96906036926576,2.9110696904047276e+42,3.054937415708236e+41
74.96906036926576,2.9112022968926054e+42,3.0550769507661336e+41
76.73330535553396,3.083276405344869e+42,3.482618652309594e+41
76.73330535553396,2.8493567493623196e+42,2.9160445503117104e+41
76.73330535553396,2.7679858521730764e+42,2.8841814446323393e+41
76.73330535553396,2.820911598058077e+42,2.922706213133718e+41
77.51954000000842,2.8949599136452046e+42,2.9236684363783438e+41
77.51954000000842,2.764665254360424e+42,2.788042987497496e+41
77.51954000000842,2.805708542531563e+42,2.829433333612239e+41
77.51954000000842,2.7468981347257065e+42,2.7664287707071134e+41
80.94063947501127,2.5521386978026495e+42,2.855208235639012e+41
80.94063947501127,2.552169680727624e+42,2.8552383147294693e+41
80.94063947501127,2.4748249844766343e+42,2.552423452887216e+41
80.94063947501127,2.4747883438001337e+42,2.552382429362523e+41
80.94063947501127,2.55519630837298e+42,2.8285734366084377e+41
80.94063947501127,2.5551936142055898e+42,2.828566596849838e+41
80.94063947501127,2.4562047853976438e+42,2.664647346617132e+41
80.94063947501127,2.45613338996182e+42,2.6645677733158585e+41
81.6167945000343,2.377073193321198e+42,2.3839318994204447e+41
81.6167945000343,2.3902457488339406e+42,2.3971424624657665e+41
81.6167945000343,2.3531117608826083e+42,2.3599013296817186e+41
81.6167945000343,2.3858468062697593e+42,2.394834224767889e+41
83.90496559996002,2.5394199845906788e+42,2.6119928302901498e+41
83.90496559996002,2.5339904887733945e+42,2.606407239643071e+41
83.90496559996002,2.5877447219873955e+42,2.6640150628064233e+41
83.90496559996002,2.5798704943842912e+42,2.6559095214741687e+41
85.06118279993534,2.546031085944785e+42,2.631090266156791e+41
85.06118279993534,2.4695371431053482e+42,2.4788398207724296e+41
85.06118279993534,2.520087165584875e+42,2.529580263779343e+41
85.06118279993534,2.5015867190004763e+42,2.5110101265277066e+41
85.5546225999482,2.4102922911165012e+42,2.5309640712467538e+41
85.5546225999482,2.4786520341051614e+42,2.487989047312884e+41
85.5546225999482,2.4334115359450424e+42,2.4425781294556746e+41
85.5546225999482,2.5085084168212394e+42,2.517957898191463e+41
87.04037358332425,2.387990558724267e+42,2.43801122904662e+41
87.04037358332425,2.5499945594855872e+42,3.058774811137972e+41
87.04037358332425,2.295405520119818e+42,2.304052248810873e+41
87.04037358332425,2.3359278347493237e+42,2.3447272098714614e+41
87.90069300006144,2.3527720514036927e+42,2.521567331061104e+41
87.90069300006144,2.3273377917323097e+42,2.334052993414787e+41
87.90069300006144,2.3684238279115644e+42,2.3752575774989726e+41
89.06294600002002,2.2009772955487708e+42,2.2114653930711578e+41
89.06294600002002,2.2091009507033425e+42,2.2196277590691677e+41
89.06294600002002,2.2192976973955916e+42,2.2298730953011343e+41
89.06294600002002,2.2709917815297268e+42,2.281813512097049e+41
90.90644206649934,2.2725504092023756e+42,2.4289061829182236e+41
90.90644206649934,2.2725704089847774e+42,2.4289249299504686e+41
90.90644206649934,2.4720960759674975e+42,2.7171085120507573e+41
91.89907220005989,2.1815516145995636e+42,2.194378471838232e+41
91.89907220005989,2.1997103217838092e+42,2.2101923819225156e+41
91.89907220005989,2.1655364228759753e+42,2.175855637543631e+41
91.89907220005989,2.169529164706599e+42,2.1798674055885575e+41
91.89907220005989,2.1181928252997138e+42,2.14253519728032e+41
92.98097340008243,1.994786224327731e+42,2.108278196559264e+41
92.98097340008243,2.081447650711747e+42,2.0913661655426622e+41
92.98097340008243,2.1240537017392412e+42,2.136542488810399e+41
92.98097340008243,2.077617011677962e+42,2.089832765193523e+41
93.86567319991688,1.9271363772284163e+42,2.2555388784050055e+41
93.86567319991688,2.0955445887715447e+42,2.231610112897362e+41
93.86567319991688,2.09552168056991e+42,2.231585950446717e+41
94.99191241251538,2.036234854877372e+42,2.1257802889875014e+41
94.99191241251538,1.9642859145160075e+42,2.003160482395871e+41
94.99191241251538,1.962504236402094e+42,2.01956023407949e+41
94.99191241251538,1.9466894190966776e+42,1.9581353583537065e+41
95.9178435427935,2.19500929339337e+42,2.4397479493976997e+41
95.9178435427935,2.1741461686100654e+42,2.395907602051219e+41
95.9178435427935,2.1948247976009606e+42,2.4149399114435887e+41
95.9178435427935,2.189504592388498e+42,2.422597871092178e+41
97.05645679999142,2.1881891931383235e+42,2.280317793893105e+41
97.05645679999142,2.152600948499124e+42,2.1628585230412603e+41
97.05645679999142,2.1309022467765025e+42,2.146053109332208e+41
97.05645679999142,2.186570715262609e+42,2.2082543367838795e+41
97.61882879994809,2.1407380446513873e+42,2.1488021452682375e+41
97.61882879994809,2.0997303578745818e+42,2.109735993465936e+41
97.61882879994809,2.0823969897683636e+42,2.0923200283899728e+41
97.61882879994809,2.1328657843794008e+42,2.145406383805235e+41
97.61882879994809,2.057612204883281e+42,2.0722419701652356e+41
98.93384260001282,2.1842091880101864e+42,2.3317767697099557e+41
98.93384260001282,2.1841626537375116e+42,2.3317274008874844e+41
98.93384260001282,2.2120151925188786e+42,2.2696507689695143e+41
98.93384260001282,2.2120710590418837e+42,2.269709914775839e+41
99.7710957499221,2.3143048894819104e+42,2.333874420374953e+41
99.7710957499221,2.2888670800511517e+42,2.3082215113694716e+41
99.7710957499221,2.3100457063875365e+42,2.323628069643274e+41
