phase,L1,L2,L3
243.24248496993988056,4.8572603705908236037e+41,4.5123219666751719596e+40,5.1197867585343143875e+41
245.24448897795593894,4.7660286596122640684e+41,4.376942881007561452e+40,5.0213216951399988885e+41
247.24649298597196889,4.6762953367827183684e+41,4.2461298556866542193e+40,4.924573227533219806e+41
249.24849699398799885,4.588037738662165844e+41,4.1197101822330213384e+40,4.8295101447699116977e+41
251.2505010020040288,4.5012338120367918632e+41,3.9975184160914035222e+40,4.7361022758881457724e+41
253.25250501002005876,4.415862082053002708e+41,3.8793960415285672956e+40,4.6443204367178739686e+41
255.25450901803608872,4.3319016149851083704e+41,3.7651911364488329224e+40,4.5541363712708668307e+41
257.25651302605211868,4.2493319978853344257e+41,3.6547580976598933724e+40,4.4655227128805166236e+41
259.25851703406817705,4.1681332997203195924e+41,3.5479573269116957418e+40,4.378452924976297025e+41
261.2605210420841786,4.0882860495594689126e+41,3.4446549751169053563e+40,4.2929012617310902103e+41
263.26252505010023697,4.0097712092699197477e+41,3.3447226813810485424e+40,4.208842723048529789e+41
265.2645290581162385,3.932570142116825778e+41,3.2480373122222810627e+40,4.1262530055745298888e+41
267.26653306613229688,3.85666459709112837e+41,3.1544807490108305864e+40,4.0451084718670627975e+41
269.26853707414829842,3.7820366763004467846e+41,3.063939642016762124e+40,3.965386101190672805e+41
271.2705410821643568,3.7086688187966597195e+41,2.976305212556571424e+40,3.8870634592209734782e+41
273.27254509018035833,3.6365437790065431626e+41,2.891473048887794103e+40,3.8101186622465922683e+41
275.2745490981964167,3.565644601964233172e+41,2.8093429025221041844e+40,3.7345303383883350163e+41
277.27655310621241824,3.4959546130011716744e+41,2.7298185231491409228e+40,3.660277605355008243e+41
279.27855711422847662,3.4274573917104467978e+41,2.652807465082752582e+40,3.5873400313153130846e+41
281.28056112224447816,3.3601367615822061529e+41,2.578220933678224623e+40,3.5156976135989830123e+41
283.28256513026053653,3.2939767741566332836e+41,2.5059736249641931816e+40,3.4453307518210295428e+41
285.2845691382765949,3.2289616906038350477e+41,2.4359835658846029452e+40,3.3762202186796762332e+41
287.28657314629259645,3.1650759764587447513e+41,2.3681719855794498632e+40,3.3083471456663252256e+41
289.28857715430865483,3.1023042816059218527e+41,2.3024631623416221116e+40,3.2416929930400713729e+41
291.29058116232465636,3.0406314350758009487e+41,2.2387843039566679687e+40,3.1762395364898618952e+41
293.29258517034071474,2.980042434203313836e+41,2.1770654210953703747e+40,3.1119688480215420355e+41
295.29458917835671627,2.9205224316645410358e+41,2.1172392014726363945e+40,3.0488632749625199934e+41
297.29659318637277465,2.8620567343914627373e+41,2.0592409090533772929e+40,2.986905432303762426e+41
299.2985971943887762,2.8046307885705374983e+41,2.0030082624525923709e+40,2.9260781802533544285e+41
301.30060120240483457,2.7482301785809111856e+41,1.9484813413589222973e+40,2.8663646173345548226e+41
