x,Curve1
2.28771,0.013217
2.28935,0.014001
2.29261,0.014831
2.29588,0.015531
2.29914,0.016452
2.30404,0.017031
2.31058,0.01763
2.31711,0.01825
2.32201,0.018892
2.33017,0.019332
2.33834,0.019557
2.34487,0.018892
2.3514,0.018892
2.35956,0.019111
2.3661,0.018461
2.37426,0.018041
2.38079,0.01825
2.38896,0.017834
2.39549,0.01763
2.40202,0.016836
2.40855,0.016452
2.41509,0.016643
2.42325,0.016836
2.42978,0.016836
2.43795,0.016452
2.44448,0.016452
2.45101,0.017031
2.45918,0.016836
2.46407,0.017031
2.47061,0.017031
2.47551,0.01763
2.48204,0.018461
2.48694,0.01763
