# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459823.796722 15.765 0.012 1796 21 c 0 9.33 8.69039 -8.38667 10227.45 6921.37 2.88 2.12 -13.4 -0.429 19.72 21.6 04a59823o0539c
2459823.799884 15.775 0.011 1778 20 c 0 8.98 8.69039 -8.38667 10248.0 6957.78 2.85 2.12 -15.5 -0.43 19.73 21.59 04a59823o0546c
2459823.826459 15.797 0.011 1743 19 c 0 11.84 8.69039 -8.38667 10197.48 6858.51 2.79 2.21 -13.5 -0.418 19.7 21.45 04a59823o0604c
2459823.829622 15.888 0.015 1602 24 c 0 13.64 8.69039 -8.38667 58.18 6901.47 2.57 2.09 73.1 -0.382 19.68 21.47 04a59823o0611c
2459823.832784 15.777 0.013 1776 23 c 0 4.68 8.69039 -8.38667 10179.04 6970.13 2.82 2.21 -21.9 -0.421 19.66 21.41 04a59823o0618c
2459823.833234 15.847 0.016 1665 27 c 0 4.39 8.69039 -8.38667 78.35 6936.96 2.63 2.09 72.6 -0.37 19.65 21.46 04a59823o0619c
2459825.055115 15.846 0.01 1666 17 c 0 4.42 8.69039 -8.38667 4163.84 1546.43 2.48 2.29 58.4 -0.417 19.57 21.37 02a59824o0728c
2459825.089402 15.838 0.011 1678 19 c 0 1.81 8.69039 -8.38667 4141.0 1508.71 2.47 2.35 66.7 -0.42 19.59 21.47 02a59824o0803c
2459825.117898 15.851 0.011 1658 19 c 0 2.42 8.69039 -8.38667 4200.7 1588.51 2.46 2.36 75.0 -0.417 19.55 21.37 02a59824o0865c
2459842.92047 16.122 0.016 1292 20 c 0 2.31 8.69039 -8.38667 639.6 1692.06 3.08 2.79 47.1 -0.327 19.37 21.35 01a59842o0457c
2459842.922318 16.123 0.017 1290 22 c 0 1.7 8.69039 -8.38667 619.94 1653.08 3.08 2.79 49.3 -0.333 19.39 21.36 01a59842o0461c
2459842.925087 16.103 0.015 1315 20 c 0 2.39 8.69039 -8.38667 679.85 1732.2 3.13 2.82 38.3 -0.326 19.38 21.38 01a59842o0467c
2459842.930172 16.115 0.015 1300 20 c 0 1.97 8.69039 -8.38667 698.32 1614.29 3.12 2.82 49.0 -0.324 19.38 21.39 01a59842o0478c
2459847.006352 15.13 99.99 -937 648 c 0 1.26 8.69039 -8.38667 9946.21 9017.19 3.03 2.98 36.6 -0.464 15.13 16.96 01a59846o0637c
2459847.046535 16.125 0.113 1288 146 c 0 1.19 8.69039 -8.38667 9910.33 8983.07 3.01 2.99 75.3 -0.472 16.7 18.44 01a59846o0722c
2459847.053028 15.792 0.078 1750 137 c 0 1.11 8.69039 -8.38667 9893.92 9103.2 3.04 2.99 -74.2 -0.485 16.76 18.47 01a59846o0735c
2459849.532812 16.017 0.014 1424 20 c 0 1.3 8.69039 -8.38667 10045.33 7006.18 2.47 2.22 -51.8 -0.373 19.76 21.57 03a59849o0661c
2459849.535966 16.035 0.012 1400 17 c 0 2.38 8.69039 -8.38667 10063.94 7045.2 2.47 2.15 -58.0 -0.379 19.78 21.54 03a59849o0668c
2459849.541879 16.028 0.012 1409 17 c 0 2.53 8.69039 -8.38667 10007.91 6964.97 2.41 2.16 -54.7 -0.38 19.75 21.52 03a59849o0681c
2459849.565702 16.06 0.013 1368 18 c 0 1.72 8.69039 -8.38667 9988.51 7077.19 2.45 2.13 -56.8 -0.376 19.72 21.5 03a59849o0730c
2459850.907075 16.138 0.014 1273 18 c 0 1.02 8.69039 -8.38667 6926.51 1925.07 2.98 2.86 26.6 -0.38 19.7 21.52 01a59850o0438c
2459850.908921 16.084 0.012 1338 16 c 0 2.1 8.69039 -8.38667 6908.97 1887.47 2.93 2.79 21.8 -0.388 19.7 21.53 01a59850o0442c
2459850.913618 16.128 0.013 1285 17 c 0 1.67 8.69039 -8.38667 6965.3 1962.3 2.94 2.8 25.5 -0.382 19.71 21.55 01a59850o0452c
2459850.91874 16.105 0.013 1312 17 c 0 1.79 8.69039 -8.38667 6985.12 1844.15 2.9 2.79 37.6 -0.396 19.74 21.53 01a59850o0463c
2459853.408521 16.13 0.013 1283 17 c 0 3.24 8.69039 -8.38667 371.24 3501.34 2.32 2.17 -55.0 -0.382 19.75 21.46 03a59853o0390c
2459853.410323 16.105 0.013 1312 18 c 0 3.62 8.69039 -8.38667 10522.97 3732.43 2.39 2.13 -55.9 -0.363 19.73 21.46 03a59853o0394c
2459853.412127 16.095 0.013 1324 17 c 0 3.84 8.69039 -8.38667 350.28 3461.95 2.37 2.16 -58.5 -0.384 19.72 21.46 03a59853o0398c
2459853.41348 16.057 0.013 1371 18 c 0 2.98 8.69039 -8.38667 10503.22 3694.04 2.43 2.24 -56.9 -0.377 19.73 21.46 03a59853o0401c
2459853.42297 16.135 0.014 1277 18 c 0 2.28 8.69039 -8.38667 403.84 3543.08 2.44 2.22 -56.6 -0.384 19.73 21.44 03a59853o0422c
2459853.432561 16.153 0.013 1255 16 c 0 4.11 8.69039 -8.38667 424.2 3429.12 2.38 2.18 -58.3 -0.385 19.71 21.45 03a59853o0443c
2459854.984804 16.245 0.014 1153 16 c 0 1.69 8.69039 -8.38667 3661.04 8819.1 3.17 2.93 67.6 -0.325 19.59 21.34 01a59854o0610c
2459854.994681 16.217 0.015 1184 18 c 0 1.3 8.69039 -8.38667 3679.95 8858.85 3.13 2.92 70.5 -0.326 19.57 21.29 01a59854o0631c
2459855.022912 16.193 0.014 1210 17 c 0 1.29 8.69039 -8.38667 3625.1 8783.73 3.19 3.01 66.1 -0.322 19.51 21.21 01a59854o0691c
2459855.032524 16.191 0.015 1212 18 c 0 1.53 8.69039 -8.38667 3606.88 8901.29 3.58 3.11 62.1 -0.274 19.4 21.14 01a59854o0711c
2459871.683751 16.342 0.018 1055 19 c 0 2.33 8.69039 -8.38667 8286.8 6989.8 2.89 2.53 -28.1 -0.373 19.39 21.3 04a59871o0440c
