# JD m dm uJy duJy F err chi/N RA Dec x y maj min phi apfit mag5sig Sky Obs
2459945.28815 17.2 0.117 479 56 o 0 1.15 8.69039 -8.38667 7877.16 7471.05 2.79 2.24 -56.5 -0.389 17.81 17.58 03a59945o0033o
2459945.297359 16.975 0.055 589 32 o 0 1.41 8.69039 -8.38667 7820.45 7366.64 2.67 2.24 -57.7 -0.391 18.41 18.66 03a59945o0050o
2459947.536052 16.976 0.146 588 86 o 0 1.29 8.69039 -8.38667 1711.63 938.12 3.14 2.35 47.3 -0.423 17.32 17.32 04a59947o0028o
2459947.562778 16.941 0.061 607 37 o 0 1.07 8.69039 -8.38667 1666.78 894.61 2.98 2.22 42.2 -0.421 18.43 19.03 04a59947o0057o
2459949.336037 16.96 0.056 597 34 o 0 1.26 8.69039 -8.38667 7900.48 7294.56 2.83 2.45 -54.4 -0.384 18.33 18.89 03a59949o0137o
2459949.340179 16.998 0.059 576 34 o 0 0.97 8.69039 -8.38667 7921.84 7323.96 2.78 2.39 -51.0 -0.388 18.34 18.86 03a59949o0146o
2459949.346077 17.058 0.082 546 45 o 0 0.72 8.69039 -8.38667 7870.79 7232.68 3.17 2.63 -49.1 -0.372 18.21 18.81 03a59949o0159o
2459949.368902 16.985 0.076 583 44 o 0 0.98 8.69039 -8.38667 7866.92 7300.68 2.74 2.43 -45.8 -0.383 18.03 18.4 03a59949o0209o
2459951.570641 16.27 99.99 727 299 o 0 1.25 8.69039 -8.38667 1704.03 934.23 2.4 2.1 47.9 -0.425 16.27 16.25 04a59951o0104o
2459951.588695 14.08 99.99 2853 1244 o 0 1.45 8.69039 -8.38667 1714.94 975.31 2.24 2.13 55.8 -0.45 14.08 13.81 04a59951o0144o
2459951.592297 14.75 99.99 374 601 o 0 1.27 8.69039 -8.38667 1653.83 898.33 2.98 2.16 45.0 -0.426 14.75 14.85 04a59951o0152o
2459951.599976 15.17 99.99 124 996 o 0 1.03 8.69039 -8.38667 1629.96 1017.12 2.99 2.16 42.4 -0.432 15.17 15.1 04a59951o0169o
2459960.70943 17.035 0.041 557 23 o 0 2.08 8.69039 -8.38667 8538.22 1848.25 1.94 1.85 -57.5 -0.461 18.78 19.18 02a59960o0031o
2459960.712593 16.956 0.037 599 22 o 0 0.82 8.69039 -8.38667 8519.96 1810.96 1.97 1.81 -58.3 -0.451 19.1 19.75 02a59960o0038o
2459960.737098 17.011 0.03 570 17 o 0 2.4 8.69039 -8.38667 8603.38 1773.24 2.03 1.76 -57.8 -0.468 19.36 20.37 02a59960o0092o
2459964.70936 16.971 0.051 591 30 o 0 1.36 8.69039 -8.38667 8344.43 5685.97 2.45 2.09 37.1 -0.415 18.46 18.66 02a59964o0024o
