"obj_id","ra","dec","filter","mjd","snr","instrument_id","instrument_name","ra_unc","dec_unc","origin","id","altdata","annotations","mag","magerr","magsys","limiting_mag","Delete"
"ZTF22aapubuy","8.6903934","-8.3866975","ztfg","59822.37850689981","36.190001010756525","1","ZTF","","","None","269147652","","","15.86820083211929","0.03000099956989288","ab","18.01724730937345",""
"ZTF22aapubuy","8.6903934","-8.3866975","ztfg","59822.37850689981","36.190259405656406","1","ZTF","","","None","269141544","","","15.868187107551748","0.030000785365700715","ab","18.017241336883508",""
"ZTF22aapubuy","8.6903834","-8.38677","ztfg","59822.399131900165","29.483822670210508","1","ZTF","","","None","269147653","","","15.865239617745075","0.03682481124997139","ab","17.791774083107903",""
"ZTF22aapubuy","8.6903834","-8.38677","ztfg","59822.399131900165","29.483670555464066","1","ZTF","","","None","269179249","","","15.86520033841192","0.03682500123977661","ab","17.791729202163474",""
"ZTF22aapubuy","","","ztfr","59822.472719899844","","1","ZTF","","","None","269179250","","","","","ab","20.36079978942871",""
"ZTF22aapubuy","8.6903783","-8.3866792","ztfr","59822.47366899997","52.39412363013012","1","ZTF","","","None","269179251","","","15.684606603458635","0.020722480490803715","ab","18.235388043946255",""
"ZTF22aapubuy","8.6903783","-8.3866792","ztfr","59822.47366899997","52.39533869858035","1","ZTF","","","None","273780696","","","15.684600020108794","0.020721999928355217","ab","18.235406639536713",""
"ZTF22aapubuy","8.6904046","-8.3866875","ztfr","59824.39421299985","39.37598749425493","1","ZTF","","","None","273780697","","","15.68834614959521","0.027573561295866966","ab","17.928999784824107",""
"ZTF22aapubuy","8.6904046","-8.3866875","ztfr","59824.39421299985","39.37535976292891","1","ZTF","","","None","273832762","","","15.688300252046592","0.02757400088012218","ab","17.928936578349322",""
"ZTF22aapubuy","","","ztfg","59824.399166699965","","1","ZTF","","","None","273832763","","","","","ab","20.380800247192383",""
"ZTF22aapubuy","8.6903867","-8.3867002","ztfi","59824.44258099981","26.13799270324315","1","ZTF","","","None","273832776","","","15.367844794558467","0.04153862223029137","ab","17.16360036468953",""
"ZTF22aapubuy","8.6903867","-8.3867002","ztfi","59824.44258099981","26.13775594903546","1","ZTF","","","None","275490484","","","15.367800128272116","0.041538998484611504","ab","17.16354586391504",""
"ZTF22aapubuy","","","ztfi","59824.443993099965","","1","ZTF","","","None","275490485","","","","","ab","19.84440040588379",""
"ZTF22aapubuy","8.6903886","-8.3866886","ztfg","59826.35648149997","34.93089249270195","1","ZTF","","","None","274755811","","","15.981741105044739","0.031082406640052795","ab","18.09234029947429",""
"ZTF22aapubuy","8.6903886","-8.3866886","ztfg","59826.35648149997","34.93134883144013","1","ZTF","","","None","274885192","","","15.981699991261841","0.031082000583410256","ab","18.09231336970497",""
"ZTF22aapubuy","8.6903712","-8.3867887","ztfg","59826.37457180023","26.262940495013503","1","ZTF","","","None","275490482","","","15.951600195040172","0.04134099930524825","ab","17.752533558391914",""
"ZTF22aapubuy","8.6903712","-8.3867887","ztfg","59826.37457180023","26.262935761840065","1","ZTF","","","None","274885193","","","15.951563889948774","0.04134100675582885","ab","17.75249705762638",""
"ZTF22aapubuy","","","ztfr","59826.424444399774","","1","ZTF","","","None","275490483","","","","","ab","20.32550048828125",""
"ZTF22aapubuy","","","ztfi","59827.37792820018","","1","ZTF","","","None","275490486","","","","","ab","19.65839958190918",""
"ZTF22aapubuy","8.6903856","-8.3866835","ztfi","59827.397696800064","37.75984902024369","1","ZTF","","","None","275490487","","","15.349804276623724","0.028753722086548805","ab","17.54495488862748",""
"ZTF22aapubuy","8.6903856","-8.3866835","ztfi","59827.397696800064","37.75948456149428","1","ZTF","","","None","302985768","","","15.349800145491333","0.02875399962067604","ab","17.54494027789892",""
"ZTF22aapubuy","8.6903983","-8.3866959","ztfg","59829.3976619998","36.38526158553522","1","ZTF","","","None","275968015","","","16.053600427676948","0.02983999997377396","ab","18.208489170721",""
"ZTF22aapubuy","8.6903983","-8.3866959","ztfg","59829.3976619998","36.38515483909706","1","ZTF","","","None","275949771","","","16.053552743948114","0.029840087518095967","ab","18.20843830167378",""
"ZTF22aapubuy","8.6903818","-8.3866839","ztfr","59829.419398100115","46.85290198454134","1","ZTF","","","None","275968016","","","15.869935258871015","0.02317329682409763","ab","18.29935148672233",""
"ZTF22aapubuy","8.6903818","-8.3866839","ztfr","59829.419398100115","46.85350078409986","1","ZTF","","","None","301783067","","","15.86990012021076","0.023173000663518906","ab","18.299330224133314",""
"ZTF22aapubuy","","","sdssr","59830.23688380001","26.36589678694467","2","SEDM","","","SEDM_FPIPE_SDSS","417394968","","","15.961642027851768","0.04117956667780564","ab","17.766823386106267",""
"ZTF22aapubuy","","","sdssr","59830.23688380001","28.618604668144023","2","SEDM","","","SEDM_FPIPE_SDSS","276150622","","","15.956642027851773","0.03793812512343362","ab","17.85083815558702",""
"ZTF22aapubuy","","","sdssr","59830.41299390001","20.798107899067862","2","SEDM","","","SEDM_FPIPE_SDSS","276183088","","","15.950853073681175","0.05220360477150859","ab","17.4984876302515",""
"ZTF22aapubuy","","","sdssr","59830.41299390001","20.419033688378068","2","SEDM","","","SEDM_FPIPE_SDSS","417394969","","","15.94751116224864","0.053172751528202805","ab","17.4751741155538",""
"ZTF22aapubuy","","","sdssi","59830.415007600095","14.679802391115366","2","SEDM","","","SEDM_FPIPE_SDSS","276182211","","","15.691281419632283","0.07396122753091335","ab","16.860656932445057",""
"ZTF22aapubuy","","","sdssr","59838.23948509991","2.656493138084172","2","SEDM","","","SEDM_FPIPE_SDSS","417394970","","","15.944764976387535","0.40871033664372575","ab","15.258111711629573",""
"ZTF22aapubuy","","","sdssr","59838.23948509991","2.651554766871031","2","SEDM","","","SEDM_FPIPE_SDSS","282287637","","","15.941202747845105","0.40947153659562274","ab","15.252529241347945",""
"ZTF22aapubuy","","","sdssi","59838.241157900076","22.142840744366538","2","SEDM","","","SEDM_FPIPE_SDSS","282285334","","","15.60769492293967","0.049033284269741066","ab","17.223353253418157",""
"ZTF22aapubuy","8.6903924","-8.3866979","ztfg","59839.31575229997","27.068289545621393","1","ZTF","","","None","302669587","","","16.084600804803287","0.04011100158095359","ab","17.918327827518812",""
"ZTF22aapubuy","8.6903924","-8.3866979","ztfg","59839.31575229997","27.06860630760625","1","ZTF","","","None","301783068","","","16.084579989160336","0.040110532194375985","ab","17.918319717441996",""
"ZTF22aapubuy","8.6903921","-8.3866875","ztfg","59839.35151620023","34.288209956008025","1","ZTF","","","None","302717811","","","16.10619972734727","0.031665001064538956","ab","18.196636749029178",""
"ZTF22aapubuy","8.6903921","-8.3866875","ztfg","59839.35151620023","34.28832693958784","1","ZTF","","","None","302669588","","","16.10615210337139","0.0316648930311203","ab","18.19659282933216",""
"ZTF22aapubuy","8.6903898","-8.3866904","ztfg","59839.3579051001","24.343861779694667","1","ZTF","","","None","302985731","","","16.064500987361278","0.04459999874234199","ab","17.783049660288565",""
