###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59788.560459  15.435  0.009  2433   23 c  0   5.93   8.69039  -8.38667 10212.38  6950.91 2.54 2.51  73.2 -0.423 19.64 21.22 02a59788o0697c
59788.563623  15.430  0.009  2444   22 c  0   4.91   8.69039  -8.38667 10152.85  6872.28 2.54 2.50  32.5 -0.421 19.64 21.22 02a59788o0704c
59788.569957  15.405  0.009  2501   23 c  0   5.62   8.69039  -8.38667 10132.90  6989.29 2.54 2.48  42.2 -0.419 19.67 21.25 02a59788o0718c
59791.370612  15.480  0.010  2334   23 c  0   4.11   8.69039  -8.38667  2066.33  8779.19 2.80 2.22 -87.6 -0.356 19.63 21.53 04a59791o0814c
59791.373769  15.471  0.009  2352   21 c  0   4.79   8.69039  -8.38667  2087.14  8814.84 2.69 2.17 -85.4 -0.365 19.64 21.58 04a59791o0821c
59791.402219  15.488  0.009  2316   20 c  0   6.00   8.69039  -8.38667  2044.45  8706.53 2.85 2.30 -84.7 -0.342 19.54 21.47 04a59791o0881c
59791.408175  15.486  0.009  2321   21 c  0   5.39   8.69039  -8.38667  2025.08  8818.92 2.91 2.33 -85.5 -0.340 19.59 21.47 04a59791o0894c
59791.440586  15.512  0.014  2266   31 c  0   1.61   8.69039  -8.38667  2072.89  8734.58 2.85 2.22 -84.7 -0.321 18.74 19.63 04a59791o0961c
59792.594101  15.563  0.009  2162   20 c  0   5.49   8.69039  -8.38667   383.10  3650.79 2.41 2.39 -41.4 -0.407 19.56 21.13 02a59792o0715c
59792.596874  15.531  0.009  2227   21 c  0   5.15   8.69039  -8.38667   363.82  3611.58 2.41 2.37 -60.0 -0.410 19.52 21.13 02a59792o0721c
59792.620395  15.509  0.010  2272   22 c  0   3.31   8.69039  -8.38667   421.76  3690.83 2.39 2.35  16.7 -0.411 19.45 20.91 02a59792o0772c
59792.624797  15.533  0.010  2222   22 c  0   3.59   8.69039  -8.38667   441.25  3575.26 2.38 2.36  89.6 -0.404 19.14 20.35 02a59792o0781c
59794.602825  15.240  0.009  2910   25 o  0   3.53   8.69039  -8.38667  1694.09  2999.54 2.75 2.56 -44.9 -0.504 19.37 20.82 01a59794o0338o
59794.607451  15.229  0.009  2939   25 o  0   4.12   8.69039  -8.38667  1715.67  3038.81 2.87 2.61 -46.3 -0.491 19.39 20.83 01a59794o0348o
59794.615028  15.234  0.010  2926   29 o  0   2.37   8.69039  -8.38667  1656.33  2963.15 2.85 2.65 -44.5 -0.496 19.35 20.77 01a59794o0364o
59794.622832  15.237  0.010  2918   30 o  0   2.28   8.69039  -8.38667  1641.56  3080.71 2.81 2.61 -44.7 -0.509 19.15 20.22 01a59794o0380o
59796.605585  15.437  0.009  2428   22 c  0   8.73   8.69039  -8.38667   661.78  9492.53 2.36 2.18 -42.0 -0.466 19.64 21.34 02a59796o0380c
59796.611988  15.434  0.009  2435   22 c  0   7.57   8.69039  -8.38667   642.89  9456.07 2.41 2.24 -48.7 -0.457 19.61 21.33 02a59796o0394c
59796.624590  15.445  0.011  2409   26 c  0   6.00   8.69039  -8.38667   695.04  9531.73 2.34 2.15 -46.9 -0.467 19.34 20.65 02a59796o0421c
59796.627881  15.417  0.013  2474   32 c  0   4.40   8.69039  -8.38667   719.67  9415.88 2.36 2.21 -45.0 -0.477 19.00 20.04 02a59796o0428c
59797.093820  15.440  0.008  2420   20 c  0   4.91   8.69039  -8.38667  5999.95  1267.16 2.33 2.21 -26.3 -0.419 19.89 21.85 03a59797o0666c
