Wavelength(nm)	T%
818		0.000316268
817.5		0.000341683
817		0.000349116
816.5		0.000273109
816		0.000348216
815.5		0.000459121
815		0.000297285
814.5		0.000394073
814		0.000376134
813.5		0.000432987
813		0.000377915
812.5		0.000188153
812		0.000279791
811.5		0.000208832
811		0.000413654
810.5		0.000282633
810		0.000189274
809.5		0.000170389
809		0.000171292
808.5		0.000179973
808		0.000285248
807.5		0.000248412
807		0.000148851
806.5		0.000303838
806		0.000254866
805.5		0.000169524
805		0.000326761
804.5		0.000110653
804		0.000127823
803.5		0.000163904
803		0.000191546
802.5		0.000177321
802		0.000246309
801.5		0.000189297
801		0.000218906
800.5		0.00021664
800		0.00027337
799.5		0.000154583
799		1.06E-05
798.5		4.69E-05
798		0.000163891
797.5		0.000222394
797		0.000131634
796.5		0.000157528
796		0.000165052
795.5		0.000167247
795		0.000143876
794.5		0.000192459
794		0.000350452
793.5		0.000131601
793		0.000263957
792.5		0.000164254
792		0.000331003
791.5		0.000256524
791		0.000330982
790.5		0.00012152
790		0.00014662
789.5		0.00010845
789		0.000120776
788.5		0.000294566
788		0.00017251
787.5		0.000354527
787		5.06E-05
786.5		8.76E-06
786		0.00014645
785.5		0.000105847
785		0.000156894
784.5		0.000156023
784		0.000175669
783.5		0.000105088
783		9.04E-05
782.5		3.94E-05
782		0.000215706
781.5		0.000204788
781		0.000140792
780.5		0.000151891
780		0.000190152
779.5		0.000208896
779		0.000169864
778.5		0.000151345
778		0.000281298
777.5		0.000175403
777		0.000130742
776.5		0.000131084
776		0.000179444
775.5		0.000230592
775		0.00016419
774.5		0.000205913
774		0.000268696
773.5		0.000200558
773		9.82E-05
772.5		0.000135768
772		0.000123048
771.5		7.80E-05
771		0.000207954
770.5		0.000177001
770		0.00011008
769.5		7.98E-05
769		7.94E-05
768.5		9.81E-05
768		0.000182457
767.5		0.000131741
767		0.000165689
766.5		0.000191669
766		0.000158212
765.5		0.000136019
765		0.000184159
764.5		0.00027885
764		0.000182031
763.5		0.000219735
763		7.34E-05
762.5		0.00026531
762		0.000131706
761.5		0.000244658
761		0.000150948
760.5		0.000106331
760		0.000161289
759.5		7.96E-05
759		4.44E-05
758.5		0.000181012
758		0.000202169
757.5		6.03E-05
757		0.000221549
756.5		4.08E-05
756		0.000266497
755.5		0.000195289
755		0.000240252
754.5		0.000101531
754		3.96E-05
753.5		0.000198363
753		0.000175053
752.5		3.39E-05
752		0.000247078
751.5		5.59E-05
751		0.000236014
750.5		9.34E-05
750		0.000252796
749.5		0.000262823
749		0.000172455
748.5		0.000306548
748		0.000246161
747.5		0.000115405
747		0.000321621
746.5		0.000144434
746		0.000122973
745.5		0.000123389
745		0.00015429
744.5		0.000150119
744		0.000161345
743.5		0.000204369
743		0.000116809
742.5		8.75E-05
742		0.000146014
741.5		0.00018013
741		0.000248342
740.5		0.000181925
740		0.000125837
739.5		8.27E-05
739		7.46E-05
738.5		0.000251106
738		0.000195511
737.5		0.000258841
737		0.000294569
736.5		0.000285083
736		0.00015234
735.5		0.000299101
735		0.000250028
734.5		0.000307721
734		7.00E-05
733.5		0.000225784
733		0.000196337
732.5		0.000196496
732		0.000276749
731.5		0.000283875
731		0.0001858
730.5		0.000181823
730		6.44E-05
729.5		0.00019407
729		0.000179676
728.5		0.000158123
728		0.000196196
727.5		0.000208119
727		0.000147641
726.5		0.000141336
726		0.000269755
725.5		0.00033811
725		0.000281
724.5		0.000192787
724		0.000204725
723.5		0.000386092
723		0.000201225
722.5		0.000445042
722		0.000244621
721.5		0.00019866
721		0.000259269
720.5		0.000355378
720		0.000238392
719.5		0.000283348
719		0.000328358
718.5		0.000315372
718		0.000234167
717.5		0.000288848
717		0.000277145
716.5		0.000300487
716		0.000294771
715.5		0.000327133
715		0.00020462
714.5		0.000283392
714		0.000209918
713.5		0.00024559
713		0.000307732
712.5		0.000339428
712		0.000294371
711.5		0.000278476
711		0.000393602
710.5		0.000358187
710		0.000370056
709.5		0.000365509
709		0.000503233
708.5		0.000435933
708		0.000399888
707.5		0.00047874
707		0.000433223
706.5		0.000418833
706		0.000511544
705.5		0.000563359
705		0.000372641
704.5		0.000339242
704		0.000443373
703.5		0.000303033
703		0.000467899
702.5		0.000408797
702		0.000505478
701.5		0.000593629
701		0.000509054
700.5		0.000428566
700		0.000376239
699.5		0.000431938
699		0.000594279
698.5		0.000438107
698		0.000335396
697.5		0.000371877
697		0.000453088
696.5		0.000481817
696		0.000503303
695.5		0.000559764
695		0.000533312
694.5		0.000575522
694		0.000487188
693.5		0.000547269
693		0.0006199
692.5		0.000545648
692		0.000507416
691.5		0.000551147
691		0.00054962
690.5		0.000578224
690		0.000615011
689.5		0.000635443
689		0.000645445
688.5		0.000529315
688		0.000563579
687.5		0.000442115
687		0.000663015
686.5		0.000420035
686		0.000590928
685.5		0.0005467
685		0.00056787
684.5		0.000635725
684		0.00061237
683.5		0.000664728
683		0.000667341
682.5		0.000612616
682		0.000470022
681.5		0.000597521
681		0.000590758
680.5		0.000593561
680		0.000638413
679.5		0.000666775
679		0.00052433
678.5		0.000661545
678		0.000636748
677.5		0.000621366
677		0.000567576
676.5		0.000415098
676		0.000571306
675.5		0.000470179
675		0.000350994
674.5		0.000484368
674		0.000546782
673.5		0.000622405
673		0.000505832
672.5		0.000405401
672		0.000331641
671.5		0.000432062
671		0.000459947
670.5		0.000380758
670		0.000489296
669.5		0.000467176
669		0.000373899
668.5		0.000370019
668		0.000503312
667.5		0.000372513
667		0.000428186
666.5		0.000299789
666		0.000461183
665.5		0.000348455
665		0.000365266
664.5		0.00040557
664		0.00038624
663.5		0.000349611
663		0.00026555
662.5		0.000269446
662		0.000207794
661.5		0.000237691
661		0.000178047
660.5		0.000112351
660		0.000159229
659.5		0.000182054
659		0.000260181
658.5		0.0001634
658		0.000170357
657.5		0.000245709
657		9.73E-05
656.5		0.000339324
656		9.40E-05
655.5		0.000163614
655		0.000242448
654.5		0.000120786
654		0.000135912
653.5		0.000209843
653		0.000149299
652.5		0.000140527
652		0.000124483
651.5		6.82E-05
651		0.000150244
650.5		0.000159853
650		9.18E-05
649.5		0.00011886
649		0.00010542
648.5		0.000171384
648		7.69E-05
647.5		0.000138571
647		0.000182205
646.5		0.000114009
646		0.000156866
645.5		8.04E-05
645		0.000123915
644.5		4.84E-05
644		0.000203105
643.5		0.000274708
643		0.000196294
642.5		0.000113746
642		0.000190421
641.5		-7.49E-05
641		0.00021779
640.5		0.000216918
640		0.000188876
639.5		0.000198115
639		0.000175729
638.5		0.000166471
638		0.000139151
637.5		4.58E-05
637		2.58E-05
636.5		0.000203002
636		4.16E-05
635.5		5.62E-05
635		7.35E-05
634.5		0.000199531
634		4.52E-05
633.5		1.05E-05
633		-2.54E-05
632.5		1.73E-05
632		2.90E-05
631.5		3.10E-05
631		3.50E-05
630.5		8.53E-05
630		0.000107444
629.5		8.52E-05
629		5.85E-05
628.5		4.70E-05
628		0.000162789
627.5		-8.28E-06
627		0.000147816
626.5		0.000155878
626		0.000158089
625.5		4.37E-05
625		0.000158354
624.5		8.26E-05
624		5.65E-05
623.5		9.88E-05
623		0.000104971
622.5		0.000121068
622		0.000149611
621.5		1.10E-05
621		0.000113444
620.5		0.000135442
620		9.05E-05
619.5		0.000110652
619		3.76E-05
618.5		0.000136571
618		5.20E-05
