x,Curve1
1.164127,7.3905e-17
1.167003,7.0971e-17
1.167962,6.6338e-17
1.169879,6.2006e-17
1.170838,5.7958e-17
1.171796,5.491e-17
1.172755,5.1325e-17
1.173713,4.7974e-17
1.174672,4.4842e-17
1.175631,4.1914e-17
1.177548,3.9177e-17
1.179465,3.7117e-17
1.181382,3.8652e-17
1.182341,4.0798e-17
1.184258,4.3648e-17
1.186176,4.6071e-17
1.187134,4.3063e-17
1.189051,4.0252e-17
1.19001,3.8135e-17
1.190969,3.5645e-17
1.192886,3.3318e-17
1.194803,3.423e-17
1.19672,3.6131e-17
1.198638,3.8655e-17
1.201514,3.6622e-17
1.203431,3.4697e-17
1.205348,3.2431e-17
1.208224,3.2873e-17
1.210141,3.5169e-17
1.2111,3.7626e-17
1.212059,3.9715e-17
1.213017,4.2489e-17
1.214934,4.5458e-17
1.216852,4.7338e-17
1.219728,4.4849e-17
1.220686,4.2491e-17
1.222603,3.9716e-17
1.224521,3.7628e-17
1.229314,3.7124e-17
1.231231,3.7629e-17
1.23219,4.0258e-17
1.233148,4.307e-17
1.234107,4.6079e-17
1.235066,5.6426e-17
1.236024,6.9097e-17
1.236983,9.052e-17
1.237941,1.186e-16
1.2389,1.4523e-16
1.239859,1.7784e-16
1.240817,2.0355e-16
1.241776,2.2678e-16
1.242735,2.1197e-16
1.243693,1.9813e-16
1.246569,1.472e-16
1.247528,1.2861e-16
1.248486,1.2021e-16
1.249445,1.0503e-16
1.250404,9.176e-17
1.251362,8.577e-17
1.252321,8.017e-17
1.25328,7.493e-17
1.254238,7.0993e-17
1.255197,6.6358e-17
1.256155,6.2025e-17
1.257114,5.7976e-17
1.258073,5.419e-17
1.259031,5.0652e-17
1.25999,4.7345e-17
1.260949,4.4254e-17
1.262866,4.1927e-17
1.263824,3.9189e-17
1.265742,3.6631e-17
1.268618,3.5655e-17
1.270535,3.7634e-17
1.272452,4.0264e-17
1.274369,4.3077e-17
1.275328,4.5468e-17
1.276287,4.8644e-17
1.279162,4.9306e-17
1.280121,4.6713e-17
1.28108,4.3663e-17
1.282038,4.0812e-17
1.284914,3.6142e-17
1.286831,3.8148e-17
1.288749,4.0813e-17
1.289707,4.0813e-17
1.290666,4.3079e-17
1.292583,4.0266e-17
1.294501,3.7637e-17
1.296418,3.5658e-17
1.298335,3.333e-17
1.299294,3.1154e-17
1.303128,2.9918e-17
1.306004,2.8345e-17
1.307921,2.6494e-17
1.310797,2.5442e-17
1.31559,2.5102e-17
1.316549,2.3463e-17
1.318466,2.2229e-17
1.321342,2.2531e-17
1.323259,2.106e-17
1.324218,1.84e-17
1.325177,1.7432e-17
1.327094,1.84e-17
1.328052,1.7199e-17
1.329011,1.791e-17
1.32997,1.7199e-17
1.330928,1.6076e-17
1.332846,1.5231e-17
1.334763,1.5648e-17
1.335721,1.9161e-17
1.337639,2.2533e-17
1.338597,2.4107e-17
1.339556,2.5791e-17
1.343391,2.6142e-17
1.344349,2.4435e-17
1.345308,2.284e-17
1.346266,1.9954e-17
1.349142,1.8155e-17
1.350101,1.9423e-17
1.35106,2.2231e-17
1.352977,2.6859e-17
1.354894,2.5792e-17
1.355853,2.4108e-17
1.356811,2.2534e-17
1.35777,2.1063e-17
1.358729,1.9688e-17
1.359687,1.7201e-17
1.379818,2.8352e-17
1.382694,2.8352e-17
1.38557,2.7972e-17
1.387487,2.9525e-17
1.391322,2.9927e-17
1.395156,2.9526e-17
1.397074,2.7973e-17
1.39995,2.7974e-17
1.400908,2.9928e-17
1.401867,3.2019e-17
1.403784,3.3796e-17
1.405701,3.5672e-17
1.408577,3.3343e-17
1.410494,3.159e-17
1.412412,3.0749e-17
1.414329,3.2897e-17
1.415288,3.5195e-17
1.416246,3.7149e-17
1.419122,3.9211e-17
1.422957,3.7655e-17
1.425832,3.8686e-17
1.428708,3.9746e-17
1.430626,3.7656e-17
1.432543,3.6652e-17
1.435419,3.8687e-17
1.437336,3.9214e-17
1.439253,3.7152e-17
1.441171,3.4726e-17
1.442129,3.2459e-17
1.444046,3.0752e-17
1.446922,3.0752e-17
1.44884,3.2901e-17
1.450757,3.4727e-17
1.452674,3.7153e-17
1.45555,3.6655e-17
1.459384,3.5201e-17
1.46226,3.7155e-17
1.463219,4.1957e-17
1.464178,4.4888e-17
1.465136,5.1378e-17
1.466095,5.4968e-17
1.467053,6.2916e-17
1.468012,6.7311e-17
1.468971,7.2014e-17
1.469929,7.499e-17
1.472805,7.1049e-17
1.475681,5.4232e-17
1.47664,5.0691e-17
1.477598,4.7382e-17
1.478557,4.4288e-17
1.479516,4.1396e-17
1.481433,3.922e-17
1.48335,3.6659e-17
1.487185,3.5683e-17
1.490061,3.3807e-17
1.491978,3.2029e-17
1.495812,3.0758e-17
1.500605,2.9939e-17
1.50444,2.9141e-17
1.507316,2.9538e-17
1.509233,3.1601e-17
1.512109,3.3356e-17
1.514026,3.3809e-17
1.516902,3.2032e-17
1.518819,3.0348e-17
1.522654,3.1179e-17
1.526488,3.0761e-17
1.530323,3.0349e-17
1.534157,3.0349e-17
1.536075,3.247e-17
1.537033,3.4272e-17
1.538951,3.6666e-17
1.540868,3.9228e-17
1.542785,4.1406e-17
1.545661,4.3118e-17
1.54662,4.254e-17
1.547578,3.9762e-17
1.548537,3.7166e-17
1.550454,3.6176e-17
1.552371,3.8703e-17
1.554289,4.0852e-17
1.555247,4.3706e-17
1.556206,4.6759e-17
1.558123,4.6759e-17
1.560999,4.4301e-17
1.561958,4.1408e-17
1.563875,3.9231e-17
1.567709,3.7674e-17
1.570585,3.667e-17
1.57442,3.5694e-17
1.577296,3.7675e-17
1.58113,3.7676e-17
1.584965,3.618e-17
1.587841,3.4278e-17
1.589758,3.2476e-17
1.592634,3.0768e-17
1.593592,2.8759e-17
1.59551,2.6882e-17
1.597427,2.5468e-17
1.600303,2.6522e-17
1.601261,2.7994e-17
1.60222,2.9949e-17
1.603179,3.2042e-17
1.604137,3.428e-17
1.605096,3.6675e-17
1.606054,3.9237e-17
1.607013,4.1978e-17
1.607972,4.4911e-17
1.610848,4.7404e-17
1.613724,4.5522e-17
1.614682,4.255e-17
1.618517,3.4748e-17
1.620434,3.2479e-17
1.62331,3.2044e-17
1.627144,3.0772e-17
1.629062,2.8763e-17
1.632896,2.8378e-17
1.635772,2.9551e-17
1.639606,2.9552e-17
1.642482,3.1192e-17
1.6444,3.2924e-17
1.646317,3.5224e-17
1.650151,3.6681e-17
1.653986,3.5704e-17
1.655903,3.3373e-17
1.65782,3.1194e-17
1.658779,2.9554e-17
1.660696,2.7624e-17
1.662614,2.5821e-17
1.663572,2.4135e-17
1.665489,2.4135e-17
1.667407,2.5821e-17
1.669324,2.7254e-17
1.673158,2.7255e-17
1.676034,2.6889e-17
1.67891,2.8768e-17
1.680827,3.0365e-17
1.682745,3.0365e-17
1.685621,2.8769e-17
1.686579,2.689e-17
1.688496,2.5135e-17
1.689455,2.3813e-17
1.692331,2.2258e-17
1.696165,2.196e-17
1.699041,2.3179e-17
1.7,2.4799e-17
1.701917,2.6531e-17
1.702876,2.8385e-17
1.704793,3.0368e-17
1.705752,3.2053e-17
1.708628,3.2054e-17
1.710545,2.9961e-17
1.713421,2.8772e-17
1.715338,2.6893e-17
1.718214,2.5826e-17
1.720131,2.414e-17
1.723007,2.287e-17
1.724924,2.1377e-17
1.725883,2.0253e-17
1.7278,1.8931e-17
1.731635,1.8179e-17
1.734511,1.7458e-17
1.738345,1.654e-17
1.74218,1.6765e-17
1.745055,1.7696e-17
1.746973,1.8932e-17
1.74889,1.9983e-17
1.750807,2.1379e-17
1.753683,2.0255e-17
1.7556,1.919e-17
1.757518,1.7937e-17
1.760394,1.6994e-17
1.763269,1.6766e-17
1.767104,1.746e-17
1.76998,1.8429e-17
1.772856,1.9191e-17
1.777649,1.9192e-17
1.780525,2.0257e-17
1.782442,2.1672e-17
1.784359,2.2875e-17
1.785318,2.4473e-17
1.786276,2.6183e-17
1.787235,2.8012e-17
1.788194,2.9969e-17
1.789152,3.1633e-17
1.79107,3.3843e-17
1.792987,3.5721e-17
1.793946,3.4303e-17
1.794904,3.2064e-17
1.796821,3.0378e-17
1.798739,2.8394e-17
1.799697,2.6901e-17
1.800656,2.5145e-17
1.801615,2.3503e-17
1.802573,2.1969e-17
1.803532,2.0534e-17
1.80449,1.9454e-17
1.805449,1.6997e-17
1.806408,1.5887e-17
1.809284,1.6322e-17
1.810242,1.7462e-17
1.811201,1.6322e-17
1.812159,1.426e-17
1.813118,1.3511e-17
1.815994,1.4069e-17
1.816953,1.5675e-17
1.81887,1.4651e-17
1.821746,1.5257e-17
1.822704,1.6998e-17
1.82558,1.6104e-17
1.826539,1.5465e-17
1.829415,1.4851e-17
1.830373,1.2975e-17
1.833249,1.3695e-17
1.834208,1.7942e-17
1.835166,2.0536e-17
1.836125,2.1971e-17
1.837084,2.8784e-17
1.838042,3.5248e-17
1.839001,3.771e-17
1.83996,4.9404e-17
1.840918,6.9246e-17
1.841877,9.072e-17
1.842836,1.0384e-16
1.843794,1.2545e-16
1.844753,1.5362e-16
1.845711,1.8811e-16
1.84667,2.0125e-16
1.847629,1.9856e-16
1.849067,2.3349e-16
1.849546,1.8559e-16
1.850025,2.3666e-16
1.851463,1.9067e-16
1.852422,2.0399e-16
1.852901,2.1972e-16
1.85338,2.3349e-16
1.854339,1.9856e-16
1.855298,1.856e-16
1.856256,1.6215e-16
1.857215,1.5156e-16
1.858174,1.3242e-16
