"Obj. ID","IAU name","Internal name/s","Obj. RA","Obj. DEC","Obj. Type","Redshift","Spec. ID","Obs-date","JD","From","Telescope","Instrument","Observer/s","Reducer/s","Source group","Public","Associated groups","End prop. period","Ascii file","Fits file","Spec. type","Spec. quality","Extinction-Corrected","WL Medium","WL Units","Flux Unit Coefficient","Spec. units","Flux Calibrated By","Exp-time","Aperture (slit)","HA","Airmass","Dichroic","Grism","Grating","Blaze","Lambda-min","Lambda-max","Del-Lambda","Contrib","Publish","Remarks","Created by","Creation date"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1189","2014-02-03 00:00:00.00","2456691.5","","Magellan-Baade","IMACS","Unknown","Unknown","","Y","","","2013ge_2014-02-03_00-00-00_Magellan-Baade_IMACS_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4239.795","9446.8627","1.2718777967758","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1190","2014-02-26 00:00:00.00","2456714.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-02-26_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3478","7417.6","1.4694516971279","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1191","2014-02-27 00:00:00.00","2456715.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2014-02-27_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8110.9","25001.9","8.6487455197133","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1192","2014-03-04 00:00:00.00","2456720.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-03-04_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3475","7417.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1193","2014-03-06 00:00:00.00","2456722.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2014-03-06_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3321","8537.25","1.9492713004484","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1194","2014-03-07 00:00:00.00","2456723.5","","FLWO-1.5m","FAST","Unknown","Unknown","","Y","","","2013ge_2014-03-07_00-00-00_FLWO-1.5m_FAST_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3474","7416.54","1.4694521058517","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1195","2014-03-25 00:00:00.00","2456741.5","","Magellan-Baade","FIRE","Unknown","Unknown","","Y","","","2013ge_2014-03-25_00-00-00_Magellan-Baade_FIRE_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","8117.5","25043.7","8.6579028132992","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1196","2014-04-28 00:00:00.00","2456775.5","","MMT","MMT-Blue","Unknown","Unknown","","Y","","","2013ge_2014-04-28_00-00-00_MMT_MMT-Blue_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3322","8536.3","1.9492710280374","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","48807","2014-04-29 06:20:09.00","2456776.7639931","","Lick-3m","KAST","Isaac Shivvers, Andrew Bigley","Kelsey Clubb","UCB-SNDB","Y","UCB-SNDB","","SN_2013ge_2014-04-29_06-20-09_Lick-3m_KAST_UCB-SNDB_0.flm","","Object","","","Air","Angstrom","1","erg cm(-2) sec(-1) Ang(-1)","","","","","","","","","","3700","10000","1.9993652808632","","2019MNRAS.482.1545S","SNR: 9.14122;","WIS_Bot1","2019-01-23 10:48:35"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1197","2014-10-23 00:00:00.00","2456953.5","","LBT","MODS2","Unknown","Unknown","","Y","","","2013ge_2014-10-23_00-00-00_LBT_MODS2_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","3501","9795.0801","0.50993114315807","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
"371","2013ge","","158.701917","21.661639","SN Ib/c","0.004356","1198","2015-01-15 00:00:00.00","2457037.5","","Magellan-Baade","IMACS","Unknown","Unknown","","Y","","","2013ge_2015-01-15_00-00-00_Magellan-Baade_IMACS_None.flm","","Object","","","Air","Angstrom","1","Other","","0","0","","","","","","","4255","9444.9199","1.2695498776908","Drout et al. 2016","2016ApJ...821...57D","[Data obtained from:Drout, M.] [Prev. spec info - createdby: ilanm-UploadSet; modifiedby: ilanm-UploadSet]"," Migration From WISeREP1.0","2016-06-04 09:20:27"
